GO	x	K	GeneRatio	BgRatio	p_value	genes_in_target	p_adjust	significant
GO:0006032	1	32	1/287	32/27058	0.2892457941909219	S.CEREALE.LO7.r2.2RG00147430	0.45578125145236176	FALSE
GO:0016998	1	32	1/287	32/27058	0.2892457941909219	S.CEREALE.LO7.r2.2RG00147430	0.45578125145236176	FALSE
GO:0008237	1	34	1/287	34/27058	0.3042614889862941	S.CEREALE.LO7.r2.2RG00168970	0.46973388165257307	FALSE
GO:0005840	5	348	5/287	348/27058	0.31035335938235437	S.CEREALE.LO7.r2.1RG00054700;S.CEREALE.LO7.r2.2RG00114060;S.CEREALE.LO7.r2.5RG00499680;S.CEREALE.LO7.r2.6RG00602240;S.CEREALE.LO7.r2.7RG00729760	0.46973388165257307	FALSE
GO:0015078	1	35	1/287	35/27058	0.31165036378872635	S.CEREALE.LO7.r2.1RG00053960	0.46973388165257307	FALSE
GO:0046274	1	35	1/287	35/27058	0.31165036378872635	S.CEREALE.LO7.r2.3RG00274540	0.46973388165257307	FALSE
GO:0052716	1	35	1/287	35/27058	0.31165036378872635	S.CEREALE.LO7.r2.3RG00274540	0.46973388165257307	FALSE
GO:0015935	1	35	1/287	35/27058	0.31165036378872635	S.CEREALE.LO7.r2.2RG00114060	0.46973388165257307	FALSE
GO:0030246	3	186	3/287	186/27058	0.3159031992006773	S.CEREALE.LO7.r2.2RG00180760;S.CEREALE.LO7.r2.5RG00516190;S.CEREALE.LO7.r2.7RG00697060	0.47116959644219697	FALSE
GO:0015276	1	36	1/287	36/27058	0.31896103786609153	S.CEREALE.LO7.r2.4RG00356010	0.47116959644219697	FALSE
GO:0006511	3	188	3/287	188/27058	0.3216951436318712	S.CEREALE.LO7.r2.4RG00355040;S.CEREALE.LO7.r2.5RG00510070;S.CEREALE.LO7.r2.7RG00673040	0.47116959644219697	FALSE
GO:0016746	3	189	3/287	189/27058	0.3245915021668777	S.CEREALE.LO7.r2.2RG00114110;S.CEREALE.LO7.r2.5RG00464240;S.CEREALE.LO7.r2.6RG00599580	0.47116959644219697	FALSE
GO:0046961	1	37	1/287	37/27058	0.32619433599844405	S.CEREALE.LO7.r2.1RG00053960	0.47116959644219697	FALSE
GO:0008610	1	37	1/287	37/27058	0.32619433599844405	S.CEREALE.LO7.r2.6RG00630240	0.47116959644219697	FALSE
GO:0005634	4	275	4/287	275/27058	0.33394196150061467	S.CEREALE.LO7.r2.1RG00082920;S.CEREALE.LO7.r2.1RG00084940;S.CEREALE.LO7.r2.6RG00585790;S.CEREALE.LO7.r2.6RG00588180	0.47903398615260584	FALSE
GO:0006367	1	40	1/287	40/27058	0.34743809303896256	S.CEREALE.LO7.r2.3RG00202650	0.48501425068526316	FALSE
GO:0015079	1	40	1/287	40/27058	0.34743809303896256	S.CEREALE.LO7.r2.4RG00397900	0.48501425068526316	FALSE
GO:0071805	1	40	1/287	40/27058	0.34743809303896256	S.CEREALE.LO7.r2.4RG00397900	0.48501425068526316	FALSE
GO:0003743	1	40	1/287	40/27058	0.34743809303896256	S.CEREALE.LO7.r2.4RG00420360	0.48501425068526316	FALSE
GO:0008374	1	41	1/287	41/27058	0.3543699631736069	S.CEREALE.LO7.r2.6RG00640290	0.49139301560073495	FALSE
GO:0003899	1	43	1/287	43/27058	0.36801433673218076	S.CEREALE.LO7.r2.1RG00025050	0.506933655895984	FALSE
GO:0010181	1	45	1/287	45/27058	0.3813713414773331	S.CEREALE.LO7.r2.5RG00509010	0.5218765725479295	FALSE
GO:0016579	1	46	1/287	46/27058	0.38794397039659434	S.CEREALE.LO7.r2.2RG00129670	0.5274009532188996	FALSE
GO:0015267	1	47	1/287	47/27058	0.3944470090644522	S.CEREALE.LO7.r2.4RG00350640	0.5327595966584808	FALSE
GO:0004497	9	749	9/287	749/27058	0.399526967681862	S.CEREALE.LO7.r2.2RG00177740;S.CEREALE.LO7.r2.3RG00218390;S.CEREALE.LO7.r2.3RG00227230;S.CEREALE.LO7.r2.3RG00270840;S.CEREALE.LO7.r2.3RG00271050;S.CEREALE.LO7.r2.4RG00383940;S.CEREALE.LO7.r2.6RG00548580;S.CEREALE.LO7.r2.6RG00649370;S.CEREALE.LO7.r2.7RG00676180	0.5345082556607023	FALSE
GO:0005215	1	48	1/287	48/27058	0.4008811917455267	S.CEREALE.LO7.r2.7RG00723520	0.5345082556607023	FALSE
GO:0006355	14	1209	14/287	1209/27058	0.4069774031518655	S.CEREALE.LO7.r2.1RG00070700;S.CEREALE.LO7.r2.1RG00076580;S.CEREALE.LO7.r2.2RG00141930;S.CEREALE.LO7.r2.2RG00143340;S.CEREALE.LO7.r2.2RG00169260;S.CEREALE.LO7.r2.2RG00183310;S.CEREALE.LO7.r2.4RG00323130;S.CEREALE.LO7.r2.4RG00351560;S.CEREALE.LO7.r2.5RG00520960;S.CEREALE.LO7.r2.6RG00577750;S.CEREALE.LO7.r2.6RG00583620;S.CEREALE.LO7.r2.6RG00585790;S.CEREALE.LO7.r2.7RG00674270;S.CEREALE.LO7.r2.7RG00676010	0.5345486682135935	FALSE
